g_B,lambda_det,block_gap_LB_units,gap_gt_3,ground_energy
1.04,0.2,5.431239195071381,True,-6.994982406745014
1.06,0.0,5.172836913286283,True,-6.566420342756863
1.06,0.02,5.171879608428139,True,-6.566486417212607
1.06,0.05,5.1668781375764805,True,-6.566833570545615
1.06,0.1,5.149338588413864,True,-6.568077012114485
1.06,0.2,5.083620614109692,True,-6.573107721522209
1.08,0.0,4.844675748765173,True,-6.163305842472703
1.08,0.02,4.843663264820157,True,-6.163378936255119
1.08,0.05,4.838376725060421,True,-6.1637630056053245
1.08,0.1,4.819878697540787,True,-6.165139178907707
1.08,0.2,4.751075395378931,True,-6.170714923425754
1.1,0.0,4.530827235166946,True,-5.77845418108342
1.1,0.02,4.529756692301765,True,-5.778535293820001
1.1,0.05,4.524170846022791,True,-5.7789615450081815
1.1,0.1,4.504674364893665,True,-5.780489501798615
1.1,0.2,4.4327424599711405,True,-5.786690411961146
1.12,0.0,4.2305399078435775,True,-5.410883550170681
1.12,0.02,4.229408341538964,True,-5.410973855730077
1.12,0.05,4.22350867713241,True,-5.411448474844907
1.12,0.1,4.202974737619382,True,-5.413150629647506
1.12,0.2,4.127890652991518,True,-5.420071516555757
1.1400000000000001,0.0,3.943179236864308,True,-5.059749000138082
1.1400000000000001,0.02,3.9419836166574487,True,-5.05984987936591
1.1400000000000001,0.05,3.9357554801648904,True,-5.060380146506921
1.1400000000000001,0.1,3.9141468508059916,True,-5.062282923210596
1.1400000000000001,0.2,3.8359114607700007,True,-5.0700362913989
1.1600000000000001,0.0,3.6682203156176323,True,-4.724332712796181
1.1600000000000001,0.02,3.666957569350915,True,-4.7244457920495355
1.1600000000000001,0.05,3.6603863314551504,True,-4.725040286204717
1.1600000000000001,0.1,3.637668533877311,True,-4.727174885484087
1.1600000000000001,0.2,3.55631265525744,True,-4.735894588730409
1.18,0.0,3.405240956761247,True,-4.404034971112514
1.18,0.02,3.403908001011893,True,-4.4041621672329105
1.18,0.05,3.396979264141632,True,-4.404831005915661
1.18,0.1,3.373121752957111,True,-4.407234310144362
1.18,0.2,3.2887124627284443,True,-4.417079979481631
1.2,0.0,3.1539147365652695,True,-4.098365335003995
1.2,0.02,3.152508513780576,True,-4.098508907212897
1.2,0.05,3.1452083635429524,True,-4.099264023769333
1.2,0.1,3.1201859280869213,True,-4.101979654997678
1.2,0.2,3.032833806807682,True,-4.1131420485169565
1.22,0.0,2.914003476638561,False,-3.8069334844875455
1.22,0.02,2.912520999213405,False,-3.8070960933939935
1.22,0.05,2.9048363031356716,False,-3.8079515534872312
1.22,0.1,2.878630709015261,False,-3.8110310970408645
